ISBN,책,KDC,대분류,씨앗,out_degree,in_degree
9788936480271,공감필법,8,문학,False,0,1
9788933871805,"무엇이 옳은가 :궁극의 질문들, 우리의 방향이 되다",1,철학,False,0,1
9788983797063,(스피드스피릿!) 미니카 종이접기 :아빠와 함께 접는 우주 자동차,,미상,False,0,1
9791164138715,(흔한남매) 별난 방탈출 :탈출 미션 스토리북,6,예술,False,0,1
9788970654768,곁에 두고 읽는 니체 :내 인생에 힘이 되어준 니체의 말,1,철학,False,0,1
9791172458577,(허징의 수상한) 만물상점,8,문학,False,0,1
9788925563305,(흔들리지 않는) 돈의 법칙,3,사회과학,False,0,1
9791190030137,아홉 살 독서 수업 :부모가 알아야 할 초등 저학년 독서의 모든 것,0,총류,False,0,1
9788936447212,아홉 살 함께 사전,1,철학,False,0,1
9788901272580,역행자 :확장판,3,사회과학,False,0,1
9788901285146,해독 혁명 =질병 없는 몸을 위한 5단계 독소 해방 /Detox revolution,5,기술과학,False,0,1
9788959134953,고스트라이터즈 =김호연 장편소설 /Ghost writers,,미상,False,0,1
9791164135158,(흔한남매) 안 흔한 일기,8,문학,False,0,1
9788936478780,벌거벗은 미술관 :양정무의 미술 에세이,,미상,False,0,1
9791194368175,듀얼 브레인 =AI 시대의 실용적 생존 가이드 /Dual brain,3,사회과학,False,0,1
9791160949797,기소영의 친구들 :정은주 창작동화,8,문학,False,0,1
9791168342125,(김민형 교수의) 수학 추리 탐험대 :초등학생을 위한 이야기 수학,4,자연과학,False,0,1
9791130621968,역사의 쓸모 :자유롭고 떳떳한 삶을 위한 22가지 통찰,9,역사,False,0,1
9791168415324,에그박사의 이건 누구 똥?!,4,자연과학,False,0,1
9788954672214,"시선으로부터, :정세랑 장편소설",8,문학,False,0,1
9791130648590,중고나라 선녀님 :허태연 장편소설,8,문학,False,0,1
9788954690690,리보와 앤 :아무도 오지 않는 도서관의 두 로봇,8,문학,False,0,1
9791165348748,엄마는 아무 말도 하지 않을 거야 :현명한 방관맘의 잔소리 끊기 기술,5,기술과학,False,0,1
9788954613651,새의 선물 :은희경 장편소설,,미상,False,0,1
9788934983439,흔한남매 과학 탐험대 3 : 인체,,미상,False,0,1
9791191891331,인생에서 가장 후회되는 게 뭐냐고 묻는다면,1,철학,False,0,1
9791155812594,부자의 언어 :어떻게 살아야 부자가 되는지 묻는 아들에게,3,사회과학,False,0,1
